student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
207441003,2020,AP,P,1,3.35,3.1,3.77,3.58,3.45,20,21,22,19,82,0,0,0,91.22,0.23,3.45,0.2897,3.77,3.1,1.025,6,1
207441004,2020,AP,P,2,3.55,3.33,3.73,3.63,3.56,20,21,22,19,82,0,0,0,91.87,0.08,3.56,0.1701,3.73,3.33,1.025,6,1
207441005,2020,AP,P,2,3.4,3.0,3.27,3.42,3.27,20,21,22,19,82,0,0,0,88.16,0.02,3.2725,0.1935,3.42,3.0,1.025,6,1
207441006,2020,AP,L,1,3.5,3.19,3.64,3.26,3.4,20,21,22,19,82,0,0,0,88.14,-0.24,3.3975,0.2092,3.64,3.19,1.025,6,1
2152001,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152002,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152003,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152004,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152005,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152006,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152007,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152008,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152009,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152010,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152011,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152012,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152013,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152014,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152015,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152016,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152017,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152018,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152019,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152020,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152021,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152022,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152023,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152024,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152025,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152026,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152027,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152028,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152029,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152030,2015,IH,P,2,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152031,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152032,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152033,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152034,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152035,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152036,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152038,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152039,2015,IH,L,2,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152040,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152041,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152042,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152043,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152044,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152045,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152046,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152047,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152048,2015,IH,L,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152049,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152050,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152051,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152052,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152053,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152054,2015,IH,P,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152055,2015,IH,L,1,,,4.0,,4.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152056,2015,IH,L,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152057,2015,IH,P,2,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152058,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
2152059,2015,IH,P,1,,,3.0,,3.0,,,6,,6,0,0,0,,,,,,,0.075,3,1
